Intel Xeon Gold G6405
Intel Xeon Gold G6405T
Intel Xeon Gold G6500
Intel Xeon Gold G6500T
Intel Xeon Gold G6505
Intel Xeon Gold G6505T
Intel Xeon Gold G6600
Intel Xeon Gold G6605
Intel Xeon W 10855M
Intel Xeon W 10885M
Intel Xeon W 11155MLE
Intel Xeon W 11155MRE
Intel Xeon W 11555MLE
Intel Xeon W 11555MRE
Intel Xeon W 11855M
Intel Xeon W 11865MLE
Intel Xeon W 11865MRE
Intel Xeon W 11955M
Intel Xeon W 1250
Intel Xeon W 1250E
Intel Xeon W 1250P
Intel Xeon W 1250TE
Intel Xeon W 1270
Intel Xeon W 1270E
Intel Xeon W 1270P
Intel Xeon W 1270TE
Intel Xeon W 1290
Intel Xeon W 1290E
Intel Xeon W 1290P
Intel Xeon W 1290T
Intel Xeon W 1290TE
Intel Xeon W 1350
Intel Xeon W 1350P
Intel Xeon W 1370
Intel Xeon W 1370P
Intel Xeon W 1390
Intel Xeon W 1390P
Intel Xeon W 1390T
Intel Xeon W9 3475X
Intel N150
Intel N250
